pair_id,window_id,start_frame,end_frame,start_time,end_time,vehicle_count,avg_speed,stop_proxy,congestion_score,label,label_id
778,0,0,148,0.0,5.0,29,7.6098,0.5424,0.8553,high,2
778,1,149,298,5.0,10.0,28,7.1357,0.5088,0.86,high,2
778,2,299,448,10.0,15.0,28,4.9784,0.6219,0.9244,high,2
778,3,449,598,15.0,20.0,28,6.9814,0.7167,0.9054,high,2
778,4,599,748,20.0,25.0,27,2.0092,0.8544,0.9401,high,2
778,5,749,898,25.0,30.0,27,5.4606,0.5794,0.8839,high,2
778,6,899,1047,30.0,35.0,28,8.4222,0.5443,0.836,high,2
778,7,1048,1197,35.0,40.0,28,9.9232,0.2236,0.7355,high,2
778,8,1198,1347,40.0,45.0,26,21.3596,0.1855,0.3895,medium,1
778,9,1348,1497,45.0,50.0,23,18.8514,0.3632,0.3935,medium,1
778,10,1498,1647,50.0,55.0,18,14.9116,0.3744,0.3372,medium,1
778,11,1648,1797,55.0,60.0,20,13.7621,0.3819,0.4281,medium,1
778,12,1798,1947,60.0,65.0,17,16.1247,0.408,0.2838,low,0
778,13,1948,2096,65.0,70.0,15,15.7327,0.36,0.2222,low,0
778,14,2097,2246,70.0,75.0,15,11.1252,0.3362,0.3289,low,0
778,15,2247,2396,75.0,80.0,15,16.2448,0.2516,0.1881,low,0
778,16,2397,2546,80.0,85.0,15,18.4664,0.3684,0.1577,low,0
778,17,2547,2696,85.0,90.0,15,12.8207,0.4253,0.3057,low,0
778,18,2697,2846,90.0,95.0,15,15.4899,0.3115,0.2183,low,0
778,19,2847,2996,95.0,100.0,18,20.339,0.3387,0.1987,low,0
778,20,2997,3145,100.0,105.0,17,18.3293,0.4148,0.2318,low,0
778,21,3146,3295,105.0,110.0,16,12.3697,0.3934,0.341,medium,1
778,22,3296,3445,110.0,115.0,17,9.4296,0.5403,0.4723,medium,1
778,23,3446,3595,115.0,120.0,19,8.0515,0.6712,0.5934,medium,1
778,24,3596,3745,120.0,125.0,20,6.7445,0.5601,0.6336,medium,1
778,25,3746,3895,125.0,130.0,21,9.17,0.3745,0.5686,medium,1
778,26,3896,4044,130.0,135.0,21,14.5245,0.3667,0.4374,medium,1
778,27,4045,4194,135.0,140.0,20,14.5024,0.2108,0.376,medium,1
778,28,4195,4344,140.0,145.0,21,22.966,0.1363,0.2119,low,0
778,29,4345,4494,145.0,150.0,20,25.0222,0.2268,0.1992,low,0
778,30,4495,4644,150.0,155.0,25,21.8212,0.2505,0.3606,medium,1
778,31,4645,4794,155.0,160.0,22,15.3434,0.3451,0.444,medium,1
778,32,4795,4944,160.0,165.0,22,13.583,0.4044,0.4985,medium,1
778,33,4945,5093,165.0,170.0,19,11.4306,0.4506,0.4675,medium,1
778,34,5094,5243,170.0,175.0,15,6.3621,0.483,0.4736,medium,1
778,35,5244,5393,175.0,180.0,17,12.5323,0.5244,0.3941,medium,1
778,36,5394,5543,180.0,185.0,19,11.6071,0.464,0.4659,medium,1
778,37,5544,5693,185.0,190.0,22,17.7218,0.2557,0.3685,medium,1
778,38,5694,5843,190.0,195.0,22,16.8573,0.3137,0.4011,medium,1
778,39,5844,5993,195.0,200.0,21,12.4787,0.4405,0.5017,medium,1
778,40,5994,6142,200.0,205.0,20,10.7023,0.5974,0.5453,medium,1
778,41,6143,6292,205.0,210.0,22,9.914,0.503,0.607,medium,1
778,42,6293,6442,210.0,215.0,24,8.7752,0.4787,0.6913,high,2
778,43,6443,6592,215.0,220.0,22,6.531,0.5953,0.7074,high,2
778,44,6593,6742,220.0,225.0,20,3.2148,0.8409,0.722,high,2
778,45,6743,6892,225.0,230.0,20,6.8728,0.4661,0.6117,medium,1
778,46,6893,7041,230.0,235.0,25,17.1842,0.3821,0.4991,medium,1
778,47,7042,7191,235.0,240.0,23,16.2164,0.2585,0.4363,medium,1
778,48,7192,7341,240.0,245.0,17,16.9247,0.3159,0.246,low,0
778,49,7342,7491,245.0,250.0,18,19.5383,0.3975,0.2298,low,0
778,50,7492,7641,250.0,255.0,15,16.8524,0.4506,0.2132,low,0
778,51,7642,7791,255.0,260.0,18,17.9533,0.4353,0.2758,low,0
778,52,7792,7941,260.0,265.0,22,23.999,0.2963,0.2746,low,0
778,53,7942,8090,265.0,270.0,21,16.699,0.319,0.3752,medium,1
778,54,8091,8240,270.0,275.0,16,9.4113,0.3913,0.4122,medium,1
778,55,8241,8390,275.0,280.0,18,10.0725,0.5075,0.481,medium,1
778,56,8391,8540,280.0,285.0,19,11.8865,0.6075,0.4878,medium,1
778,57,8541,8690,285.0,290.0,16,9.5607,0.4876,0.4279,medium,1
778,58,8691,8840,290.0,295.0,13,9.567,0.3846,0.3763,medium,1
