pair_id,window_id,start_frame,end_frame,start_time,end_time,vehicle_count,avg_speed,stop_proxy,congestion_score,label,label_id
776,0,0,148,0.0,5.0,23,6.1512,0.5935,0.706,high,2
776,1,149,298,5.0,10.0,27,12.3435,0.4327,0.6525,medium,1
776,2,299,448,10.0,15.0,26,15.7633,0.3572,0.5406,medium,1
776,3,449,598,15.0,20.0,26,21.6721,0.2517,0.398,medium,1
776,4,599,748,20.0,25.0,22,19.2149,0.4718,0.3866,medium,1
776,5,749,898,25.0,30.0,16,16.0642,0.4992,0.2979,low,0
776,6,899,1047,30.0,35.0,17,14.8187,0.5458,0.3593,medium,1
776,7,1048,1197,35.0,40.0,13,15.4562,0.6526,0.2881,low,0
776,8,1198,1347,40.0,45.0,14,12.0385,0.6382,0.3555,medium,1
776,9,1348,1497,45.0,50.0,12,6.2634,0.5595,0.4585,medium,1
776,10,1498,1647,50.0,55.0,17,17.9187,0.3846,0.2633,low,0
776,11,1648,1797,55.0,60.0,18,18.5653,0.3229,0.2642,low,0
776,12,1798,1947,60.0,65.0,14,13.7235,0.2811,0.2494,low,0
776,13,1948,2096,65.0,70.0,20,21.346,0.3435,0.2641,low,0
776,14,2097,2246,70.0,75.0,23,19.23,0.352,0.3888,medium,1
776,15,2247,2396,75.0,80.0,25,18.8278,0.4169,0.463,medium,1
776,16,2397,2546,80.0,85.0,30,13.4573,0.4174,0.6821,high,2
776,17,2547,2696,85.0,90.0,33,12.4827,0.4727,0.7132,high,2
776,18,2697,2846,90.0,95.0,29,5.8932,0.6004,0.8716,high,2
776,19,2847,2996,95.0,100.0,27,4.8346,0.6744,0.8552,high,2
776,20,2997,3145,100.0,105.0,28,9.6272,0.3434,0.717,high,2
776,21,3146,3295,105.0,110.0,27,18.2559,0.1032,0.465,medium,1
776,22,3296,3445,110.0,115.0,24,19.7644,0.2786,0.3896,medium,1
776,23,3446,3595,115.0,120.0,27,18.7968,0.262,0.4856,medium,1
776,24,3596,3745,120.0,125.0,23,17.8884,0.3123,0.4084,medium,1
776,25,3746,3895,125.0,130.0,25,15.47,0.3227,0.5132,medium,1
776,26,3896,4044,130.0,135.0,25,16.7918,0.3757,0.4966,medium,1
776,27,4045,4194,135.0,140.0,22,15.9219,0.4397,0.4478,medium,1
776,28,4195,4344,140.0,145.0,19,10.6075,0.4018,0.4701,medium,1
776,29,4345,4494,145.0,150.0,22,12.2824,0.5143,0.5376,medium,1
776,30,4495,4644,150.0,155.0,25,14.1467,0.4739,0.5707,medium,1
776,31,4645,4794,155.0,160.0,25,10.4197,0.3722,0.627,medium,1
776,32,4795,4944,160.0,165.0,26,11.1925,0.4126,0.6456,medium,1
776,33,4945,5093,165.0,170.0,25,12.1533,0.4947,0.6158,medium,1
776,34,5094,5243,170.0,175.0,24,8.4619,0.6691,0.7001,high,2
776,35,5244,5393,175.0,180.0,23,7.8781,0.6839,0.6886,high,2
776,36,5394,5543,180.0,185.0,24,6.6944,0.6375,0.7301,high,2
776,37,5544,5693,185.0,190.0,23,3.6165,0.8253,0.8035,high,2
776,38,5694,5843,190.0,195.0,25,2.4985,0.771,0.8456,high,2
776,39,5844,5993,195.0,200.0,27,3.4009,0.8468,0.9137,high,2
776,40,5994,6142,200.0,205.0,29,3.6708,0.7131,0.9399,high,2
776,41,6143,6292,205.0,210.0,29,7.8121,0.6006,0.8322,high,2
776,42,6293,6442,210.0,215.0,30,8.5877,0.3525,0.7693,high,2
776,43,6443,6592,215.0,220.0,27,23.5845,0.1179,0.368,medium,1
776,44,6593,6742,220.0,225.0,25,32.5256,0.1484,0.3211,low,0
776,45,6743,6892,225.0,230.0,17,33.0035,0.2535,0.1302,low,0
776,46,6893,7041,230.0,235.0,14,20.9746,0.2659,0.0973,low,0
776,47,7042,7191,235.0,240.0,14,23.0675,0.2285,0.0468,low,0
776,48,7192,7341,240.0,245.0,19,15.8358,0.316,0.3454,medium,1
776,49,7342,7491,245.0,250.0,19,11.9185,0.2163,0.406,medium,1
776,50,7492,7641,250.0,255.0,24,16.3501,0.1323,0.4305,medium,1
776,51,7642,7791,255.0,260.0,28,13.7947,0.3116,0.6249,medium,1
776,52,7792,7941,260.0,265.0,26,10.9744,0.5436,0.6763,high,2
776,53,7942,8090,265.0,270.0,20,4.9599,0.6935,0.671,high,2
776,54,8091,8240,270.0,275.0,20,6.0942,0.4749,0.604,medium,1
776,55,8241,8390,275.0,280.0,23,7.0418,0.4865,0.6663,medium,1
776,56,8391,8540,280.0,285.0,26,8.2974,0.5129,0.7252,high,2
776,57,8541,8690,285.0,290.0,26,8.0973,0.5517,0.7371,high,2
776,58,8691,8840,290.0,295.0,23,7.2047,0.6316,0.692,high,2
