pair_id,window_id,start_frame,end_frame,start_time,end_time,vehicle_count,avg_speed,stop_proxy,congestion_score,label,label_id
782,0,0,148,0.0,5.0,31,6.5605,0.5516,0.8645,high,2
782,1,149,298,5.0,10.0,30,5.6616,0.6098,0.8735,high,2
782,2,299,448,10.0,15.0,29,3.6178,0.743,0.9022,high,2
782,3,449,598,15.0,20.0,26,4.1904,0.6023,0.8078,high,2
782,4,599,748,20.0,25.0,29,17.2097,0.2859,0.5371,medium,1
782,5,749,898,25.0,30.0,36,21.6801,0.3084,0.4915,medium,1
782,6,899,1047,30.0,35.0,28,20.4002,0.3713,0.4632,medium,1
782,7,1048,1197,35.0,40.0,26,15.8593,0.4485,0.5325,medium,1
782,8,1198,1347,40.0,45.0,26,15.3641,0.4794,0.5494,medium,1
782,9,1348,1497,45.0,50.0,26,17.6331,0.4454,0.4936,medium,1
782,10,1498,1647,50.0,55.0,20,10.9993,0.3993,0.4951,medium,1
782,11,1648,1797,55.0,60.0,20,15.2262,0.3385,0.3916,medium,1
782,12,1798,1947,60.0,65.0,21,20.049,0.3093,0.3037,low,0
782,13,1948,2096,65.0,70.0,18,17.2666,0.4348,0.3226,low,0
782,14,2097,2246,70.0,75.0,21,18.9842,0.2281,0.3105,low,0
782,15,2247,2396,75.0,80.0,26,18.583,0.2764,0.4393,medium,1
782,16,2397,2546,80.0,85.0,28,14.6769,0.5165,0.6159,medium,1
782,17,2547,2696,85.0,90.0,25,8.7664,0.6246,0.6989,high,2
782,18,2697,2846,90.0,95.0,32,9.8961,0.6226,0.8089,high,2
782,19,2847,2996,95.0,100.0,32,8.4466,0.5184,0.8193,high,2
782,20,2997,3145,100.0,105.0,28,6.7442,0.5815,0.8002,high,2
782,21,3146,3295,105.0,110.0,29,7.1126,0.3917,0.7764,high,2
782,22,3296,3445,110.0,115.0,29,16.5009,0.1904,0.5334,medium,1
782,23,3446,3595,115.0,120.0,28,22.9725,0.2598,0.3853,medium,1
782,24,3596,3745,120.0,125.0,21,17.8183,0.287,0.3474,medium,1
782,25,3746,3895,125.0,130.0,17,11.0222,0.3635,0.4211,medium,1
782,26,3896,4044,130.0,135.0,12,11.4733,0.4499,0.3403,medium,1
782,27,4045,4194,135.0,140.0,13,11.181,0.3828,0.3332,medium,1
782,28,4195,4344,140.0,145.0,19,14.9071,0.3034,0.3694,medium,1
782,29,4345,4494,145.0,150.0,19,8.0095,0.4248,0.5427,medium,1
782,30,4495,4644,150.0,155.0,19,10.805,0.3409,0.4655,medium,1
782,31,4645,4794,155.0,160.0,21,11.8947,0.5179,0.5216,medium,1
782,32,4795,4944,160.0,165.0,17,5.5547,0.6424,0.595,medium,1
782,33,4945,5093,165.0,170.0,18,4.6717,0.8213,0.672,high,2
782,34,5094,5243,170.0,175.0,21,6.4994,0.7594,0.6864,high,2
782,35,5244,5393,175.0,180.0,27,8.3809,0.6669,0.7599,high,2
782,36,5394,5543,180.0,185.0,31,8.2272,0.607,0.8396,high,2
782,37,5544,5693,185.0,190.0,31,6.1561,0.7248,0.9079,high,2
782,38,5694,5843,190.0,195.0,31,5.4307,0.7593,0.9305,high,2
782,39,5844,5993,195.0,200.0,30,4.6714,0.7064,0.9142,high,2
782,40,5994,6142,200.0,205.0,31,4.577,0.777,0.9524,high,2
782,41,6143,6292,205.0,210.0,30,4.2288,0.5768,0.8911,high,2
782,42,6293,6442,210.0,215.0,29,11.974,0.3948,0.672,high,2
782,43,6443,6592,215.0,220.0,29,16.8308,0.2659,0.5413,medium,1
782,44,6593,6742,220.0,225.0,24,23.8466,0.1562,0.2743,low,0
782,45,6743,6892,225.0,230.0,26,27.6375,0.2087,0.329,low,0
782,46,6893,7041,230.0,235.0,23,25.5988,0.2619,0.2734,low,0
782,47,7042,7191,235.0,240.0,21,18.5162,0.3686,0.3487,medium,1
782,48,7192,7341,240.0,245.0,14,12.0954,0.5552,0.37,medium,1
782,49,7342,7491,245.0,250.0,12,11.127,0.6475,0.3873,medium,1
782,50,7492,7641,250.0,255.0,13,4.7042,0.5333,0.5032,medium,1
782,51,7642,7791,255.0,260.0,20,16.2534,0.3902,0.3798,medium,1
782,52,7792,7941,260.0,265.0,26,11.4312,0.4728,0.633,medium,1
782,53,7942,8090,265.0,270.0,22,9.8125,0.5495,0.595,medium,1
782,54,8091,8240,270.0,275.0,26,14.9602,0.2758,0.5174,medium,1
782,55,8241,8390,275.0,280.0,25,16.7935,0.3496,0.4705,medium,1
782,56,8391,8540,280.0,285.0,17,12.7052,0.408,0.3937,medium,1
782,57,8541,8690,285.0,290.0,17,13.2154,0.6274,0.4265,medium,1
782,58,8691,8840,290.0,295.0,14,13.121,0.6076,0.3583,medium,1
