pair_id,sample_id,window_id,image_path,timestamp,label,label_id
784,0,0,data/processed/frames/784/w00000_f00.jpg,1.235,medium,1
784,1,0,data/processed/frames/784/w00000_f01.jpg,2.469,medium,1
784,2,0,data/processed/frames/784/w00000_f02.jpg,3.704,medium,1
784,3,1,data/processed/frames/784/w00001_f00.jpg,6.206,medium,1
784,4,1,data/processed/frames/784/w00001_f01.jpg,7.474,medium,1
784,5,1,data/processed/frames/784/w00001_f02.jpg,8.709,medium,1
784,6,2,data/processed/frames/784/w00002_f00.jpg,11.211,low,0
784,7,2,data/processed/frames/784/w00002_f01.jpg,12.479,low,0
784,8,2,data/processed/frames/784/w00002_f02.jpg,13.714,low,0
784,9,3,data/processed/frames/784/w00003_f00.jpg,16.216,medium,1
784,10,3,data/processed/frames/784/w00003_f01.jpg,17.484,medium,1
784,11,3,data/processed/frames/784/w00003_f02.jpg,18.719,medium,1
784,12,4,data/processed/frames/784/w00004_f00.jpg,21.221,medium,1
784,13,4,data/processed/frames/784/w00004_f01.jpg,22.489,medium,1
784,14,4,data/processed/frames/784/w00004_f02.jpg,23.724,medium,1
784,15,5,data/processed/frames/784/w00005_f00.jpg,26.226,low,0
784,16,5,data/processed/frames/784/w00005_f01.jpg,27.494,low,0
784,17,5,data/processed/frames/784/w00005_f02.jpg,28.729,low,0
784,18,6,data/processed/frames/784/w00006_f00.jpg,31.231,low,0
784,19,6,data/processed/frames/784/w00006_f01.jpg,32.466,low,0
784,20,6,data/processed/frames/784/w00006_f02.jpg,33.7,low,0
784,21,7,data/processed/frames/784/w00007_f00.jpg,36.203,low,0
784,22,7,data/processed/frames/784/w00007_f01.jpg,37.471,low,0
784,23,7,data/processed/frames/784/w00007_f02.jpg,38.705,low,0
784,24,8,data/processed/frames/784/w00008_f00.jpg,41.208,low,0
784,25,8,data/processed/frames/784/w00008_f01.jpg,42.476,low,0
784,26,8,data/processed/frames/784/w00008_f02.jpg,43.71,low,0
784,27,9,data/processed/frames/784/w00009_f00.jpg,46.213,low,0
784,28,9,data/processed/frames/784/w00009_f01.jpg,47.481,low,0
784,29,9,data/processed/frames/784/w00009_f02.jpg,48.715,low,0
784,30,10,data/processed/frames/784/w00010_f00.jpg,51.218,medium,1
784,31,10,data/processed/frames/784/w00010_f01.jpg,52.486,medium,1
784,32,10,data/processed/frames/784/w00010_f02.jpg,53.72,medium,1
784,33,11,data/processed/frames/784/w00011_f00.jpg,56.223,medium,1
784,34,11,data/processed/frames/784/w00011_f01.jpg,57.491,medium,1
784,35,11,data/processed/frames/784/w00011_f02.jpg,58.725,medium,1
784,36,12,data/processed/frames/784/w00012_f00.jpg,61.228,medium,1
784,37,12,data/processed/frames/784/w00012_f01.jpg,62.496,medium,1
784,38,12,data/processed/frames/784/w00012_f02.jpg,63.73,medium,1
784,39,13,data/processed/frames/784/w00013_f00.jpg,66.233,medium,1
784,40,13,data/processed/frames/784/w00013_f01.jpg,67.467,medium,1
784,41,13,data/processed/frames/784/w00013_f02.jpg,68.702,medium,1
784,42,14,data/processed/frames/784/w00014_f00.jpg,71.205,medium,1
784,43,14,data/processed/frames/784/w00014_f01.jpg,72.472,medium,1
784,44,14,data/processed/frames/784/w00014_f02.jpg,73.707,medium,1
784,45,15,data/processed/frames/784/w00015_f00.jpg,76.21,medium,1
784,46,15,data/processed/frames/784/w00015_f01.jpg,77.477,medium,1
784,47,15,data/processed/frames/784/w00015_f02.jpg,78.712,medium,1
784,48,16,data/processed/frames/784/w00016_f00.jpg,81.215,low,0
784,49,16,data/processed/frames/784/w00016_f01.jpg,82.482,low,0
784,50,16,data/processed/frames/784/w00016_f02.jpg,83.717,low,0
784,51,17,data/processed/frames/784/w00017_f00.jpg,86.22,low,0
