sample_id,pair_id,window_id,image_path,label,label_id,split
0,769,0,data/processed/frames/769/w00000_f00.jpg,medium,1,test
1,769,0,data/processed/frames/769/w00000_f01.jpg,medium,1,test
2,769,0,data/processed/frames/769/w00000_f02.jpg,medium,1,test
3,769,1,data/processed/frames/769/w00001_f00.jpg,medium,1,train
4,769,1,data/processed/frames/769/w00001_f01.jpg,medium,1,train
5,769,1,data/processed/frames/769/w00001_f02.jpg,medium,1,train
6,769,2,data/processed/frames/769/w00002_f00.jpg,medium,1,train
7,769,2,data/processed/frames/769/w00002_f01.jpg,medium,1,train
8,769,2,data/processed/frames/769/w00002_f02.jpg,medium,1,train
9,769,3,data/processed/frames/769/w00003_f00.jpg,medium,1,train
10,769,3,data/processed/frames/769/w00003_f01.jpg,medium,1,train
11,769,3,data/processed/frames/769/w00003_f02.jpg,medium,1,train
12,769,4,data/processed/frames/769/w00004_f00.jpg,high,2,train
13,769,4,data/processed/frames/769/w00004_f01.jpg,high,2,train
14,769,4,data/processed/frames/769/w00004_f02.jpg,high,2,train
15,769,5,data/processed/frames/769/w00005_f00.jpg,high,2,val
16,769,5,data/processed/frames/769/w00005_f01.jpg,high,2,val
17,769,5,data/processed/frames/769/w00005_f02.jpg,high,2,val
18,769,6,data/processed/frames/769/w00006_f00.jpg,high,2,train
19,769,6,data/processed/frames/769/w00006_f01.jpg,high,2,train
20,769,6,data/processed/frames/769/w00006_f02.jpg,high,2,train
21,769,7,data/processed/frames/769/w00007_f00.jpg,high,2,train
22,769,7,data/processed/frames/769/w00007_f01.jpg,high,2,train
23,769,7,data/processed/frames/769/w00007_f02.jpg,high,2,train
24,769,8,data/processed/frames/769/w00008_f00.jpg,high,2,train
25,769,8,data/processed/frames/769/w00008_f01.jpg,high,2,train
26,769,8,data/processed/frames/769/w00008_f02.jpg,high,2,train
27,769,9,data/processed/frames/769/w00009_f00.jpg,medium,1,val
28,769,9,data/processed/frames/769/w00009_f01.jpg,medium,1,val
29,769,9,data/processed/frames/769/w00009_f02.jpg,medium,1,val
30,769,10,data/processed/frames/769/w00010_f00.jpg,medium,1,train
31,769,10,data/processed/frames/769/w00010_f01.jpg,medium,1,train
32,769,10,data/processed/frames/769/w00010_f02.jpg,medium,1,train
33,769,11,data/processed/frames/769/w00011_f00.jpg,medium,1,train
34,769,11,data/processed/frames/769/w00011_f01.jpg,medium,1,train
35,769,11,data/processed/frames/769/w00011_f02.jpg,medium,1,train
36,769,12,data/processed/frames/769/w00012_f00.jpg,medium,1,train
37,769,12,data/processed/frames/769/w00012_f01.jpg,medium,1,train
38,769,12,data/processed/frames/769/w00012_f02.jpg,medium,1,train
39,769,13,data/processed/frames/769/w00013_f00.jpg,medium,1,train
40,769,13,data/processed/frames/769/w00013_f01.jpg,medium,1,train
41,769,13,data/processed/frames/769/w00013_f02.jpg,medium,1,train
42,769,14,data/processed/frames/769/w00014_f00.jpg,medium,1,train
43,769,14,data/processed/frames/769/w00014_f01.jpg,medium,1,train
44,769,14,data/processed/frames/769/w00014_f02.jpg,medium,1,train
45,769,15,data/processed/frames/769/w00015_f00.jpg,medium,1,train
46,769,15,data/processed/frames/769/w00015_f01.jpg,medium,1,train
47,769,15,data/processed/frames/769/w00015_f02.jpg,medium,1,train
48,769,16,data/processed/frames/769/w00016_f00.jpg,medium,1,train
